,word,times,percent
593,salt,25879,2.5579515037935847
4123,ground,25790,2.549154499124253
594,pepper,25456,2.516141020926987
1339,chopped,21346,2.1098973221522415
699,sugar,20893,2.0651215568128354
4427,white,17877,1.7670118255465015
4153,oil,16334,1.6144974636950582
2028,butter,15854,1.5670529441301244
1569,cheese,15129,1.4953919510372558
4,fresh,14837,1.466529868301921
648,and,14326,1.4160212235150853
172,garlic,14128,1.3964503591945503
2914,onion,13681,1.3522676503497058
72,flour,12933,1.2783332740276838
940,black,12588,1.2442325255903877
1458,powder,11389,1.125720069427147
4692,to,10969,1.08420611480783
1743,taste,10533,1.0411106762030151
21,water,10436,1.0315229295409347
5090,all-purpose,10169,1.0051319155329403
1439,cream,9982,0.9866483214524349
1219,sauce,9503,0.9393026446365947
2845,milk,9395,0.9286276277344847
4463,chicken,8983,0.8879044151079165
4328,olive,8356,0.8259300114262218
4895,dried,8161,0.8066556753529674
761,eggs,7961,0.7868871255342451
3851,red,7767,0.7677116322100843
4479,green,7669,0.7580250427989104
1312,baking,7390,0.7304479158017926
5349,juice,7191,0.7107782087321638
5300,vanilla,7146,0.7063302850229513
2492,extract,7057,0.6975332803536198
3218,shredded,6770,0.6691654113637532
3529,sliced,6745,0.6666943426364129
1664,large,6213,0.6141100001186113
2489,vegetable,6070,0.5999754869982248
2495,egg,5784,0.5717064607574518
2792,brown,5780,0.5713110897610774
4762,lemon,5727,0.5660724240591158
1784,diced,4916,0.4859109545441965
756,tomatoes,4671,0.4616944810162616
3544,cinnamon,4548,0.4495368228777473
1284,grated,4527,0.4474611251467815
1260,bell,4434,0.4382687494810756
938,drained,4376,0.4325358700336461
659,beef,4368,0.43174512804089715
3053,dry,4169,0.41207542097126837
1817,vinegar,4125,0.40772634001114944
204,minced,3997,0.3950744681271671
2288,optional,3973,0.39270224214892047
20,as,3852,0.3807422695085934
2115,frozen,3762,0.3718464220901683
738,mix,3669,0.3626540464244624
3658,such,3665,0.36225867542808793
821,onions,3579,0.35375819900603733
5154,bread,3541,0.35000217454048005
907,soda,3503,0.3462461500749228
3369,boneless,3410,0.3370537744092169
5243,chocolate,3399,0.33596650416918716
1076,beans,3349,0.3310243667145066
4037,tomato,3341,0.33023362472175766
4516,broth,3278,0.3240065315288601
4586,fluid,3272,0.32341347503429846
5299,parsley,3204,0.3166921680959328
2302,small,3188,0.315110684110435
5012,cheddar,3169,0.3132326718776564
5478,potatoes,3161,0.3124419298849075
3729,celery,3120,0.30838937717206943
615,into,3020,0.2985051022627082
4176,parmesan,2894,0.2860509158769131
3431,wine,2851,0.2818006776658878
266,cut,2803,0.2770562257093944
2808,crushed,2795,0.2762654837166455
3284,rice,2787,0.27547474172389663
1400,skinless,2749,0.27171871725833935
3082,corn,2616,0.258572631628889
794,sour,2609,0.2578807323852337
980,leaves,2586,0.25560734915608063
4191,breast,2580,0.2550142926615189
5481,mustard,2573,0.25432239341786367
3760,peppers,2549,0.25195016743961696
2721,seasoning,2524,0.24947909871227666
2617,for,2491,0.24621728799218748
2571,basil,2467,0.2438450620139408
1895,cooked,2447,0.24186820703206854
4225,soy,2439,0.24107746503931965
826,ginger,2420,0.239199452806541
799,mushrooms,2407,0.23791449706832407
1831,hot,2382,0.23544342834098375
4552,orange,2332,0.23050129088630317
1356,packed,2273,0.22466956868978005
4183,bacon,2248,0.22219849996243976
2219,halves,2248,0.22219849996243976
3039,ounce,2243,0.2217042862169717
2773,finely,2242,0.22160544346787808
1032,soup,2239,0.22130891522059726
4042,chips,2215,0.21893668924235055
4084,carrots,2158,0.21330265254401468
5141,peeled,2157,0.21320380979492107
557,of,2144,0.2119188540567041
3107,mayonnaise,2119,0.2094477853293638
438,condensed,2112,0.20875588608570853
32,cayenne,2066,0.20420911962740237
93,confectioners',2065,0.20411027687830877
257,cilantro,2052,0.2028253211400918
4959,lime,2049,0.20252879289281098
5217,cumin,2039,0.20154036540187484
5035,pork,2036,0.201243837154594
673,oregano,2031,0.20074962340912594
2529,crumbs,2024,0.20005772416547066
1850,freshly,2012,0.19887161117634733
2644,yellow,1995,0.19719128444175593
2938,coconut,1975,0.19521442945988368
5279,heavy,1966,0.19432484471804118
3278,honey,1956,0.19333641722710507
3282,nutmeg,1946,0.19234798973616893
5488,chili,1927,0.19046997750339031
4744,medium,1880,0.18582436829599056
2943,sweet,1842,0.1820683438304333
2788,walnuts,1811,0.17900421860853133
2048,paprika,1777,0.1756435651393485
1577,flakes,1729,0.17089911318285514
5340,pasta,1703,0.1683292017064212
361,beaten,1694,0.1674396169645787
3989,thawed,1664,0.16447433449177035
3718,italian,1658,0.16388127799720867
1088,thyme,1637,0.16180558026624284
820,with,1608,0.15893914054252808
3615,worcestershire,1601,0.1582472412988728
4614,chile,1548,0.15300857559691136
3063,prepared,1525,0.15073519236775829
5123,rinsed,1521,0.15033982137138382
3454,divided,1514,0.14964792212772857
2799,unsweetened,1485,0.1467814824040138
3809,pie,1476,0.1458918976621713
833,seeds,1459,0.14421157092757989
3617,cooking,1447,0.14302545793845656
3618,sausage,1438,0.14213587319661405
718,cornstarch,1411,0.13946711897108652
2468,apple,1378,0.13620530825099733
4395,syrup,1372,0.13561225175643565
2515,uncooked,1367,0.13511803801096758
2067,mozzarella,1352,0.1336353967745634
5039,paste,1334,0.1318562272908784
1114,light,1327,0.1311643280472231
5164,peanut,1327,0.1311643280472231
2172,cubed,1324,0.13086779979994229
4034,pineapple,1321,0.13057127155266143
3347,jalapeno,1309,0.1293851585635381
4689,juiced,1307,0.12918747306535086
3134,ice,1301,0.1285944165707892
4091,pecans,1301,0.1285944165707892
4503,spinach,1281,0.12661756158891696
1183,pieces,1279,0.12641987609072974
479,oats,1275,0.12602450509435528
180,shortening,1243,0.1228615371233597
1666,dressing,1226,0.1211812103887683
3368,sesame,1220,0.12058815389420663
2516,thinly,1210,0.1195997264032705
2854,raisins,1198,0.11841361341414716
4641,zest,1197,0.11831477066505355
1604,bay,1194,0.11801824241777271
7,head,1188,0.11742518592321105
3771,margarine,1181,0.11673328667955576
2936,wheat,1179,0.11653560118136853
3377,cocoa,1163,0.11495411719587074
4271,semisweet,1157,0.11436106070130907
3867,halved,1156,0.11426221795221546
4026,unsalted,1135,0.11218652022124961
3410,cloves,1114,0.11011082249028376
2838,instant,1074,0.10615711252653928
969,olives,1060,0.10477331403922871
2421,ounces,1041,0.10289530180645008
3937,pumpkin,1038,0.10259877355916924
5473,cold,1032,0.10200571706460758
4174,cake,1013,0.10012770483182895
3657,yeast,1012,0.10002886208273533
2671,crumbled,1003,0.09913927734089283
3487,spray,1002,0.09904043459179922
5419,dill,1000,0.09884274909361199
1631,almonds,995,0.09834853534814393
369,zucchini,993,0.0981508498499567
2433,crust,988,0.09765663610448864
243,ketchup,975,0.0963716803662717
4246,shrimp,969,0.09577862387171002
2839,yogurt,967,0.0955809383735228
1697,in,966,0.09548209562442918
4593,rosemary,961,0.09498788187896112
4998,turkey,949,0.09380176888983778
3649,melted,948,0.09370292614074417
1793,cubes,930,0.09192375665705915
3044,kosher,930,0.09192375665705915
2227,flavored,927,0.09162722840977831
1661,salad,926,0.0915283856606847
2711,inch,923,0.09123185741340387
3827,peas,920,0.09093532916612303
2996,lean,909,0.0898480589260933
3380,whipped,908,0.08974921617699969
3486,stock,906,0.08955153067881247
5051,mushroom,906,0.08955153067881247
854,whipping,898,0.08876078868606357
3287,frying,891,0.08806888944240829
415,bouillon,889,0.08787120394422106
5275,topping,876,0.08658624820600411
5461,pitted,874,0.08638856270781688
2739,seasoned,871,0.08609203446053604
4441,sweetened,858,0.08480707872231909
2030,toasted,858,0.08480707872231909
2749,buttermilk,857,0.08470823597322548
3425,warm,844,0.08342328023500852
511,strawberries,843,0.0833244374859149
2263,degrees,840,0.08302790923863407
1115,apples,836,0.08263253824225962
5459,sea,836,0.08263253824225962
709,ham,831,0.08213832449679156
717,extra-virgin,830,0.08203948174769796
165,broccoli,830,0.08203948174769796
212,almond,826,0.08164411075132351
3597,balsamic,815,0.08055684051129378
139,cider,811,0.08016146951491933
3525,carrot,811,0.08016146951491933
3217,meat,810,0.0800626267658257
3095,slices,807,0.07976609851854488
462,noodles,807,0.07976609851854488
531,curry,796,0.07867882827851515
5317,trimmed,793,0.07838230003123431
3551,fillets,789,0.07798692903485986
5474,seed,786,0.07769040078757902
3697,cabbage,782,0.07729502979120458
5107,rolled,773,0.07640544504936207
877,active,772,0.07630660230026845
1703,flaked,764,0.07551586030751956
5194,lettuce,751,0.0742309045693026
4618,coarsely,746,0.07373669082383455
3938,baby,740,0.07314363432927287
